name,problem,initial_solution
97_scaleddotproductattention,problems/kb_level1/97_scaleddotproductattention.json,problems/kb_level1/97_scaleddotproductattention_initial.py
50_conv_standard_2d_square_input_square_kernel,problems/kb_level1/50_conv_standard_2d_square_input_square_kernel.json,problems/kb_level1/50_conv_standard_2d_square_input_square_kernel_initial.py
54_conv_standard_3d_square_input_square_kernel,problems/kb_level1/54_conv_standard_3d_square_input_square_kernel.json,problems/kb_level1/54_conv_standard_3d_square_input_square_kernel_initial.py
55_conv_standard_2d_asymmetric_input_square_kernel,problems/kb_level1/55_conv_standard_2d_asymmetric_input_square_kernel.json,problems/kb_level1/55_conv_standard_2d_asymmetric_input_square_kernel_initial.py
56_conv_standard_2d_asymmetric_input_asymmetric_kernel,problems/kb_level1/56_conv_standard_2d_asymmetric_input_asymmetric_kernel.json,problems/kb_level1/56_conv_standard_2d_asymmetric_input_asymmetric_kernel_initial.py
57_conv_transposed_2d_square_input_square_kernel,problems/kb_level1/57_conv_transposed_2d_square_input_square_kernel.json,problems/kb_level1/57_conv_transposed_2d_square_input_square_kernel_initial.py
58_conv_transposed_3d_asymmetric_input_asymmetric_kernel,problems/kb_level1/58_conv_transposed_3d_asymmetric_input_asymmetric_kernel.json,problems/kb_level1/58_conv_transposed_3d_asymmetric_input_asymmetric_kernel_initial.py
59_conv_standard_3d_asymmetric_input_square_kernel,problems/kb_level1/59_conv_standard_3d_asymmetric_input_square_kernel.json,problems/kb_level1/59_conv_standard_3d_asymmetric_input_square_kernel_initial.py
60_conv_standard_3d_square_input_asymmetric_kernel,problems/kb_level1/60_conv_standard_3d_square_input_asymmetric_kernel.json,problems/kb_level1/60_conv_standard_3d_square_input_asymmetric_kernel_initial.py
61_conv_transposed_3d_square_input_square_kernel,problems/kb_level1/61_conv_transposed_3d_square_input_square_kernel.json,problems/kb_level1/61_conv_transposed_3d_square_input_square_kernel_initial.py
62_conv_standard_2d_square_input_asymmetric_kernel,problems/kb_level1/62_conv_standard_2d_square_input_asymmetric_kernel.json,problems/kb_level1/62_conv_standard_2d_square_input_asymmetric_kernel_initial.py
63_conv_standard_2d_square_input_square_kernel,problems/kb_level1/63_conv_standard_2d_square_input_square_kernel.json,problems/kb_level1/63_conv_standard_2d_square_input_square_kernel_initial.py
64_conv_transposed_1d,problems/kb_level1/64_conv_transposed_1d.json,problems/kb_level1/64_conv_transposed_1d_initial.py
65_conv_transposed_2d_square_input_asymmetric_kernel,problems/kb_level1/65_conv_transposed_2d_square_input_asymmetric_kernel.json,problems/kb_level1/65_conv_transposed_2d_square_input_asymmetric_kernel_initial.py
66_conv_standard_3d_asymmetric_input_asymmetric_kernel,problems/kb_level1/66_conv_standard_3d_asymmetric_input_asymmetric_kernel.json,problems/kb_level1/66_conv_standard_3d_asymmetric_input_asymmetric_kernel_initial.py
67_conv_standard_1d,problems/kb_level1/67_conv_standard_1d.json,problems/kb_level1/67_conv_standard_1d_initial.py
68_conv_transposed_3d_square_input_asymmetric_kernel,problems/kb_level1/68_conv_transposed_3d_square_input_asymmetric_kernel.json,problems/kb_level1/68_conv_transposed_3d_square_input_asymmetric_kernel_initial.py
69_conv_transposed_2d_asymmetric_input_asymmetric_kernel,problems/kb_level1/69_conv_transposed_2d_asymmetric_input_asymmetric_kernel.json,problems/kb_level1/69_conv_transposed_2d_asymmetric_input_asymmetric_kernel_initial.py
70_conv_transposed_3d_asymmetric_input_square_kernel,problems/kb_level1/70_conv_transposed_3d_asymmetric_input_square_kernel.json,problems/kb_level1/70_conv_transposed_3d_asymmetric_input_square_kernel_initial.py
71_conv_transposed_2d_asymmetric_input_square_kernel,problems/kb_level1/71_conv_transposed_2d_asymmetric_input_square_kernel.json,problems/kb_level1/71_conv_transposed_2d_asymmetric_input_square_kernel_initial.py
72_conv_transposed_3d_asymmetric_input_asymmetric_kernel_strided_padded_grouped,problems/kb_level1/72_conv_transposed_3d_asymmetric_input_asymmetric_kernel_strided_padded_grouped.json,problems/kb_level1/72_conv_transposed_3d_asymmetric_input_asymmetric_kernel_strided_padded_grouped_initial.py
73_conv_transposed_3d_asymmetric_input_square_kernel_strided_padded_grouped,problems/kb_level1/73_conv_transposed_3d_asymmetric_input_square_kernel_strided_padded_grouped.json,problems/kb_level1/73_conv_transposed_3d_asymmetric_input_square_kernel_strided_padded_grouped_initial.py
74_conv_transposed_1d_dilated,problems/kb_level1/74_conv_transposed_1d_dilated.json,problems/kb_level1/74_conv_transposed_1d_dilated_initial.py
